image_path,class_name,label_idx
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/00a7c269-3476-4d25-b744-44d6353cd921___GCREC_Bact.Sp 5807.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/01d9fc8d-5083-468d-a583-885f33517cdd___GCREC_Bact.Sp 3422.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/01e079ba-939a-4681-8983-db663f4a859b___GCREC_Bact.Sp 3029.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/022e8a4a-9297-4de3-88a5-ee7aa46dd526___UF.GRC_BS_Lab Leaf 8682.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/02fd4e60-db82-441c-87f6-08de768a4462___GCREC_Bact.Sp 5547.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/03707c27-7f95-4f19-a173-1c0c74653fdf___GCREC_Bact.Sp 3046.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/03aa14e9-9ee4-4ba2-819d-effb3d1ba398___GCREC_Bact.Sp 5801.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/03af6874-872f-41e1-bce4-b3022bd7a9e6___GCREC_Bact.Sp 2995.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/03ca5883-e9d6-4f88-81d8-90176fcc5413___GCREC_Bact.Sp 3013.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/03e6cea1-1c09-420a-a22e-2c29844004d1___GCREC_Bact.Sp 3076.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/04210e47-ad95-4648-8f1e-dc183581157c___UF.GRC_BS_Lab Leaf 0320.JPG,Bacterial_spot,0
/content/drive/MyDrive/CV/dataset/train/Bacterial_spot/045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,Bacterial_spot,0
